date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2019-02-12,23,100.0,30.1,8,120,10.0
2017-09-12,31,62.5,29.91,6,260,10.0
2015-01-30,23,46.74,30.21,6,340,10.0
2022-10-02,25,83.45,29.91,7,320,10.0
2016-04-24,23,78.21,29.98,5,330,10.0
2017-07-05,30,70.29,30.12,10,110,10.0
2016-12-16,25,69.36,30.12,4,30,10.0
2018-11-25,25,88.68,29.87,6,240,10.0
2021-07-14,24,94.15,30.14,4,60,10.0
2017-07-18,28,78.92,30.08,0,0,10.0
2015-07-01,29,70.11,30.13,6,150,10.0
2020-12-15,22,94.06,29.99,3,260,10.0
2020-04-13,28,78.92,30.03,12,130,10.0
2021-03-01,26,73.97,30.05,11,140,10.0
2014-07-20,28,88.92,30.05,0,0,10.0
2017-02-04,27,54.33,30.17,9,80,10.0
2017-05-29,26,78.64,30.05,4,270,10.0
2016-07-26,29,74.47,30.06,7,100,10.0
2017-06-24,32,55.56,30.08,11,110,10.0
2017-09-18,26,88.76,29.92,5,310,10.0
2018-12-27,23,73.46,30.12,17,100,10.0
